# lines beginning with '#' are comments for Anki
kfz karzati,kfzati	P1. to draw,pull. P6 to plough	antoine1-02 antoine1-05
paSuH	beast	antoine1-06
banDuH	friend	antoine1-06
bAhuH	arm	antoine1-06
binduH	drop	antoine1-06
SiSuH	baby	antoine1-06
prAk	before,to the east (+Ablative)	antoine1-06
pUrvam	before (+Ablative)	antoine1-06
anantaram	after (+Ablative)	antoine1-06
A	until,up to (+Ablative)	antoine1-06
praBfti	since (+Ablative)	antoine1-06
bahiH	outside (+Ablative)	antoine1-06
fte	except,without (+Ablative)	antoine1-06
#vinA	without (+Ablative)	antoine1-06
upari	above (+Genitive)	antoine1-06
aDaH	m. below (+Genitive)	antoine1-06
purataH	m. in front of (+Genitive)	antoine1-06
paScAt	behind (+Genitive)	antoine1-06
agre	in the presence of (+Genitive)	antoine1-06
parataH	m. beyond (+Genitive)	antoine1-06
samakzam	in the presence of (+Genitive)	antoine1-06
kfte	for the sake of (+Genitive)	antoine1-06
kaT kaTayati	P10. to tell	antoine1-07
kzal kzAlayati	P10. to wash	antoine1-07
gaR gaRayati	P10. to count	antoine1-07
Guz Gozayati	P10. to proclaim	antoine1-07
cint cintayati	P10. to think	antoine1-07
cur corayati	P10. to steal	antoine1-07
Cad CAdayati	P10. to cover	antoine1-07
daRq daRqayati	P10. to punish	antoine1-07
Df DArayati	P10. to owe	antoine1-07
pAl pAlayati	P10. to protect	antoine1-07
pIq pIqayati	P10. to oppress	antoine1-07
pUj pUjayati	P10. to adore	antoine1-07
Bakz Bakzayati	P10. to eat	antoine1-07
BUz BUzayati	P10. to adorn	antoine1-07
rac racayati	P10. to arrange	antoine1-07
sAntv sAntvayati	P10. to console	antoine1-07
spfh spfhayati	P10. to long for (+Dative)	antoine1-07
ati-kram atikrAmyati	P4. to cross	antoine1-07
aDi-gam aDigacCati	P1. to obtain	antoine1-07
anu-sf anusarati	P1. to follow	antoine1-07
apa-car apacarati	P1. to depart	antoine1-07
aBi-DAv aBiDAvati	P1. to attack	antoine1-07
ava-dah avadahati	P1. to burn down	antoine1-07
A-nI Anayati	P1. to bring	antoine1-07
ud-BU udBavati	P1. to arise	antoine1-07
upa-viS upaviSati	P6. to sit	antoine1-07
ati-	pfx. over, beyond	antoine1-07
aDi-	pfx. near,unto	antoine1-07
anu-	pfx. after,along	antoine1-07
apa-	pfx. away from	antoine1-07
aBi-	pfx. towards	antoine1-07
ava-	pfx. down	antoine1-07
A-	pfx. unto,back	antoine1-07
ud-	pfx. up,forth	antoine1-07
upa-	pfx. near	antoine1-07
ni-	pfx. under	antoine1-07
nis-	pfx. away,out	antoine1-07
pari-	pfx. round,about	antoine1-07
pra-	pfx. forward	antoine1-07
prati-	pfx. towards,against	antoine1-07
vi-	pfx. apart,without	antoine1-07
sam-	pfx. together,fully	antoine1-07
ISvaraH	m. God	antoine1-07a
putraH	m. son	antoine1-07a
guRaH	m. virtue	antoine1-07a
lokaH	m. world	antoine1-07a
vinayaH	m. modesty	antoine1-07a
janakaH	m. father	antoine1-07a
AkASaH	m. sky	antoine1-07a
AgamaH	m. arrival	antoine1-07a
prasAdaH	m. favor	antoine1-07a
Arogyam	n. health	antoine1-07a
kAvyam	n. poem	antoine1-07a
dEvam	n. fate	antoine1-07a
balam	n. strength	antoine1-07a
mAMsam	n. meat	antoine1-07a
mitram	n. friend	antoine1-07a
vacanam	n. saying	antoine1-07a
sOndaryam	n. beauty	antoine1-07a
halam	n. plough	antoine1-07a
aliH	bee	antoine1-07a
kapiH	monkey	antoine1-07a
nfpatiH	king	antoine1-07a
fziH	seer	antoine1-07a
DvaniH	sound	antoine1-07a
niDiH	treasure	antoine1-07a
pARiH	hand	antoine1-07a
viDiH	fate	antoine1-07a
raSmiH	ray	antoine1-07a
vAyuH	wind	antoine1-07a
mftyuH	death	antoine1-07a
praBuH	lord,master	antoine1-07a
SatruH	enemy	antoine1-07a
hetuH	cause	antoine1-07a
sADuH	honest man	antoine1-07a
raGuH	Raghu	antoine1-07a
ni-kzip nikzipati	P6. to put down	antoine1-07a
nir-vah nirvahati	P1. to carry out	antoine1-07a
pari-pat paripatati	P1. to fly round	antoine1-07a
prati-gam pratigacCati	P1. to return	antoine1-07a
vi-as vyasyati	P4. to scatter	antoine1-07a
sam-kzip saMkzipati	P1. to shorten	antoine1-07a
atra	ind. here	antoine1-07a
tatra	ind. there	antoine1-07a
eva	just,only	antoine1-07a
adya	ind. today	antoine1-07a
aDunA	ind. now	antoine1-07a
iva	ind. like	antoine1-07a
evam	ind. thus	antoine1-07a
api	ind. even	antoine1-07a
na kadApi	ind. never	antoine1-07a
sadA	ind. always	antoine1-07a antoine1-14a
gaNgA	f. the Ganges	antoine1-08
ramBA	f. plantain-tree	antoine1-08
mudrA	f. seal,coin	antoine1-08
SoBA	f. splendour	antoine1-08
BAryA	f. wife	antoine1-08
CAyA	f. shade	antoine1-08
sanDyA	f. twilight	antoine1-08
BAzA	f. speech	antoine1-08
saBA	f. assembly	antoine1-08
reKA	f. line	antoine1-08
mAlA	f. garland	antoine1-08
latA	f. creeper	antoine1-08
bAlikA	f. girl	antoine1-08 antoine1-23
nagarI	f. town	antoine1-08
nadI	f. river	antoine1-08
DAtrI	f. nurse	antoine1-08
pfTivI	f. earth	antoine1-08
vARI	f. voice	antoine1-08
rAjYI	f. queen	antoine1-08
siMhI	f. lioness	antoine1-08
jananI	f. mother	antoine1-08
nArI	f. woman	antoine1-08
patnI	f. wife	antoine1-08
BaginI	f. sister	antoine1-08
gfhiRI	f. housewife	antoine1-08
SarvarI	f. night	antoine1-08
Ikz Ikzate	A1. to see	antoine1-08
kamp kampate	A1. to tremble	antoine1-08
gAh gAhate	A1. to dive	antoine1-08
jan jAyate	A1. to be born	antoine1-08
qI qIyate	A1. to fly	antoine1-08
man manyate	A4. to think	antoine1-08
yuD yuDyate	A4. to fight	antoine1-08
ruc rocate	A1. to please	antoine1-08
mantr mantrayate	A10. consult	antoine1-08
mfg mfgayate	A10. to search	antoine1-08
vi-ji vijayate	A1. to conquer	antoine1-08
parA-ji parAjayate	A1. to defeat	antoine1-08
A-pracC ApfcCate	A6. to take leave of (+Accusative)	antoine1-08
kf karoti	P8. to do, to make	antoine1-09
vi-vad vivadate	A1. to disagree	antoine1-09
vft vartate	A1. to exist	antoine1-09
ni-vft ni-vartate	A1. to desist from	antoine1-09
upa-gam upagacCati	P1. to approach	antoine1-09
vi-sad vizIdati	P1to be sad	P1. antoine1-09
aDi-sTA aDitizWati	P1. to live in (+Accusative)	antoine1-09
pari-nI pariRayati	P1. to marry	antoine1-09
aBi-ni-viS aBiniviSate	A6. to resort to (+Accusative)	antoine1-09
A-df Adriyate	A6. to respect	antoine1-09
BAz BAzate	A1. to speak	antoine1-09
A-raB AraBate	A1. to begin	antoine1-09
laB laBate	A1. to obtain	antoine1-09
matiH	f. mind	antoine1-09
SaktiH	f. power	antoine1-09
BaktiH	f. devotion	antoine1-09
tfptiH	f. satisfaction	antoine1-09
nItiH	f. conduct	antoine1-09
keliH	f. jest	antoine1-09
BUmiH	f. earth	antoine1-09
DUliH	f. dust	antoine1-09
rAtriH	f. night	antoine1-09
DenuH	f. cow	antoine1-09
caYcuH	f. beak	antoine1-09
tanuH	f. body	antoine1-09
rajjuH	f. rope	antoine1-09
reRuH	f. dust,pollen	antoine1-09
hanuH	f. jaw	antoine1-09
kAryam	n. work	antoine1-09
GawaH	m. jar	antoine1-09
AdeSaH	m. order	antoine1-09
SIrze karomi	I place on my head	antoine1-09
kare karomi	I take in my hand	antoine1-09
kzaRaM karomi	I wait one moment	antoine1-09
matiM karomi	I turn my mind to (+Locative)	antoine1-09
padaM karomi	I set foot on (+Locative)	antoine1-09
dAtf dAtA	m. donor	antoine1-10
kartf kartA	m. doer	antoine1-10
netf netA	m. leader	antoine1-10
Srotf SrotA	m. hearer	antoine1-10
savitf savitA	m. sun	antoine1-10
jetf jetA	m. conqueror	antoine1-10
naptf naptA	m. grandson	antoine1-10
pitf pitA	m. father	antoine1-10
BrAtf BrAtA	m. brother	antoine1-10
jAmAtf jAmAtA	m. son-in-law	antoine1-10
duhitf duhitA	f. daughter	antoine1-10
mAtf mAtA	f. mother	antoine1-10
nanAMdf nanAMdA	f. sister-in-law	antoine1-10
svasf svasA	f. sister	antoine1-10
raTaH	m. chariot	antoine1-10
SaWaH	m. rogue	antoine1-10
udyAnam	n. garden	antoine1-10
#svasti	hail ! (+Dative)	antoine1-10
punar punaH	m. again	antoine1-10
prAtar prAtaH	m. early morning	antoine1-10
kroDaH	m. anger	antoine1-10
loBaH	m. greed	antoine1-10
kAmaH	m. desire	antoine1-10
mohaH	m. illusion	antoine1-10
nASaH	m. destruction	antoine1-10
pApam	n. sin	antoine1-10
kAraRam	n. cause	antoine1-10
praBU praBavati	P1. to arise, to be produced	antoine1-10
pravft pravartate	A1. to proceed	antoine1-10
KaRq KaRqayati	P10. to break	antoine1-10
vaDUH	f. bride	antoine1-11
camUH	f. army	antoine1-11
SvaSrUH	f.mother-in-law	antoine1-11
asiH	m. sword	antoine1-11
ASramaH	m. hermitage	antoine1-11
OzaDam	n. medicine	antoine1-11
kzetram	n. field	antoine1-11
vidyA	f. knowledge	antoine1-11
yadi	if	antoine1-11
ekadA	once upon a time	antoine1-11
tArA	f. star	antoine1-11
dAsI	f. maid-servant	antoine1-11
durjanaH	m. wicked person	antoine1-11
netram	n. eye	antoine1-11
pustakam	n. book	antoine1-11
Bayam	n. fear	antoine1-11
satyam	n. truth	antoine1-11
kintu	but	antoine1-11
taq tAqayati	P10. to beat	antoine1-11
kup kupyati	P4. to be angry (+Dative)	antoine1-11
kxp kalpate	A1. to be fit for (+Dative)	antoine1-11
ava-gam avagacCati	P1. to know	antoine1-11
ud-sTA uttizWati	P1. to rise	antoine1-11
tul tolayati	P10. to weigh	antoine1-11
A-diS AdiSati	P6. to order, to command	antoine1-11
pra-buD praboDati	P1. to wake up	antoine1-11
mf mriyate	P6. to die	antoine1-11
as asti	P2. to be	antoine1-11
vAri	n. water	antoine1-12
maDu	n. honey	antoine1-12
aSru	n. tear	antoine1-12
ambu	n. water	antoine1-12
jAnu	n. knee	antoine1-12
vastu	n. thing	antoine1-12
dAru	n. wood	antoine1-12
anDa	mfn. blind	antoine1-12
udAra	mfn. generous	antoine1-12
kARa	mfn. one-eyed	antoine1-12
kuSala	mfn. skilful	antoine1-12
kftrima	mfn. artificial	antoine1-12
kfpaRa	mfn. wretched	antoine1-12
kzudra	mfn. small,mean	antoine1-12
KaYja	mfn. lame	antoine1-12
tIvra	mfn. sharp,acute	antoine1-12
durlaBa	mfn. difficult to get	antoine1-12
nava	mfn. new	antoine1-12
nitya	mfn. regular,obligatory	antoine1-12
prasanna	mfn. favorable, clear	antoine1-12
pIna	mfn. fat	antoine1-12
mfta	mfn. dead	antoine1-12
vfdDa	mfn. old	antoine1-12
vyADita	mfn. sick	antoine1-12
hata	mfn. killed	antoine1-12
suganDi	mfn. sweet-smelling	antoine1-12
suraBi	mfn. fragrant	antoine1-12
Suci	mfn. pure	antoine1-12
bahu	mfn. much,many	antoine1-12
sADu	mfn. virtuous	antoine1-12
ASu	mfn. swift	antoine1-12
cAru	mfn. lovely	antoine1-12
guru	mfn. heavy	antoine1-12
mfdu	mfn. soft	antoine1-12
svAdu	mfn. sweet	antoine1-12
dAtf	mfn. generous	antoine1-12
kartf	mfn. doer	antoine1-12
jetf	mfn. victorious	antoine1-12
vaktf	mfn. eloquent	antoine1-12
gantf	mfn. going	antoine1-12
vand vandate	A1. to salute	antoine1-12
aDi-kzip aDikzipati	P1. to abuse	antoine1-12
pad padyate	A4. to go, to obtain	antoine1-12
vi-pad vipadyate	A4. to fall into misfortune	antoine1-12
sam-pad sampadyate	A4. to prosper	antoine1-12
asmad	pron. I	antoine1-13
yuzmad	pron. you	antoine1-13
tad	pron. that, he	antoine1-13
etad	pron. this	antoine1-13
SaraH	m. arrow	antoine1-13
sUtaH	m. charioteer	antoine1-13
stenaH	m. thief	antoine1-13
DarmaH	m. duty	antoine1-13
arTaH	m. wealth	antoine1-13
muktiH	f salvation	antoine1-13
gopAlaH	m. Gopala, cowherd	antoine1-13
malahArakaH	m. sweeper	antoine1-13
sumatiH	Sumati, good mind	antoine1-13
pArizadaH	m. courtier	antoine1-13
vaDaH	m. killing	antoine1-13
darSanam	n. sight	antoine1-13
aBiDeyam	n. name	antoine1-13
vimUQa	mfn. bewildered	antoine1-13
snih snihyati	P4. to feel affection (+Locative)	antoine1-13
sev sevate	A1. to serve	antoine1-13
kim	ind. what ?	antoine1-13
samIpam	ind. near (+Genitive)	antoine1-13
kataraH	m. which of the two	antoine1-13
BfSam	ind. greatly, violently	antoine1-13
niraparADa	mfn. innocent	antoine1-13
pra-viS praviSati	P1. to enter	antoine1-13
ava-lok avalokayati	P10. to see	antoine1-13
idam	pron. this	antoine1-14
adas	pron. that	antoine1-14
A-gam AgacCati	P1. to come	antoine1-14
vi-smf vismarati	P1. to forget	antoine1-14
BaYj Bajyate	A7. to break (passive)	antoine1-14
grah gfhyate	A9. to seize (passive)	antoine1-14
SAs Sizyate	A2. to order (passive)	antoine1-14
vac ucyate	A2. to speak (passive)	antoine1-14
banD baDyate	A9. to bind (passive)	antoine1-14
pra-kAS A1 prakASate	A1. to shine	antoine1-14
aDama	mfn. inferior	antoine1-14
antima	mfn. last	antoine1-14
asIma	mfn. boundless	antoine1-14
AcAryaH	m. preceptor	antoine1-14
dUtaH	m. messenger	antoine1-14
sarpaH	m. snake	antoine1-14
hariH	m. Hari	antoine1-14
rAmaH	m. Rama	antoine1-14
sItA	f. Sita	antoine1-14
laGu	mfn. light	antoine1-14
Bartf BartA	m. husband	antoine1-14
ASA	f. hope	antoine1-14
kanyA	f. daughter	antoine1-14
kaTA	f. story	antoine1-14
jihvA	f. tongue	antoine1-14
lajjA	f. shame	antoine1-14
ata eva	ind. therefore	antoine1-14
anyaTA	ind. otherwise	antoine1-14
#alam	ind. enough (+Instrumental)	antoine1-14
iti	ind. so, thus	antoine1-14
ciram	ind. for a long time	antoine1-14
tUzRIm	ind. silently	antoine1-14
Sastram	n. weapon	antoine1-14a
pratipattiH	f. fame	antoine1-14a
hAsyam	n. ridicule	antoine1-14a
vfdDatvam	n. old age	antoine1-14a
cakram	n. wheel	antoine1-14a
gatiH	f. motion	antoine1-14a
puruzakAraH	m. human effort	antoine1-14a
udyamaH	m. effort	antoine1-14a
manoraTaH	m. desire	antoine1-14a
mfgaH	m. deer	antoine1-14a
kOnteyaH	m. Arjuna	antoine1-14a
saKyam	n. friendship	antoine1-14a
prItiH	f. affection	antoine1-14a
aNgAraH	m. charcoal	antoine1-14a
gAnam	n. song	antoine1-14a
Adya	mfn. first	antoine1-14a
dvitIya	mfn. second	antoine1-14a
eka	pron.-adj. one	antoine1-14a antoine1-21-22
supta	mfn. asleep	antoine1-14a
daridra	mfn. poor	antoine1-14a
paTya	mfn. wholesome	antoine1-14a
nIruja	mfn. healthy	antoine1-14a
uzRa	mfn. hot	antoine1-14a
SIta	mfn. cool, cold	antoine1-14a
kfzRa	mfn. black	antoine1-14a
Sveta	mfn. white	antoine1-14a
rakta	mfn. red	antoine1-14a
pIta	mfn. yellow	antoine1-14a
nIla	mfn. blue	antoine1-14a
harita	mfn. green	antoine1-14a
#sadA	ind. always	antoine1-14a
hi	ind. for, indeed	antoine1-14a
yaTA	ind. as	antoine1-14a
taTA	ind. so	antoine1-14a
samam	ind. with (+Instrumental)	antoine1-14a
divA	ind. in day-time	antoine1-14a
naktam	ind. at night	antoine1-14a
rahasi	ind. in secret	antoine1-14a
vfTA	ind. in vain	antoine1-14a
hyaH	m. yesterday	antoine1-14a
SvaH	m. tomorrow	antoine1-14a
SanEH	ind. slowly	antoine1-14a
sapadi	ind. at once	antoine1-14a
sahasA	ind. suddenly	antoine1-14a
sakft	ind. once	antoine1-14a
kadApi	ind. sometimes	antoine1-14a
pra-dA prayacCati	P1. to bestow	antoine1-14a
kAraya kArayati	P8. (kf-causal) to perform, to establish	antoine1-14a
kfzRAya kfzRAyate	P (Nom.) to make black	antoine1-14a
siD siDyati	P4. to succeed	antoine1-14a
sah sahate	A1. to endure	antoine1-14a
Sikz Sikzate	A1. to learn	antoine1-14a
Suc Socati	P1. to grieve	antoine1-14a
vfD varDate	A1. to increase	antoine1-14a
vep vepate	A1. to tremble	antoine1-14a
luw luwyati	P4. to wallow	antoine1-14a
gE gAyati	P1. to sing	antoine1-14a
Bf Barati	P1. to feed, to support	antoine1-14a
jalamuc jalamuk	m. cloud	antoine1-15
fc fk	f. hymn	antoine1-15
tvac tvak	f. skin	antoine1-15
vAc vAk	f. speech	antoine1-15
Suc Suk	f. grief	antoine1-15
vaRij vaRik	m. merchant	antoine1-15
Bizaj Bizak	m. doctor	antoine1-15
ftvij ftvik	m. priest	antoine1-15
samrAj samrAw	m. emperor	antoine1-15
parivrAj parivrAw	m. mendicant	antoine1-15
sraj srak	f. garland	antoine1-15
marut	m. wind	antoine1-15
BUBft	m. king	antoine1-15
vidyut	f. lightning (flash)	antoine1-15
taqit	f. lightning (strike)	antoine1-15
sarit	f. river	antoine1-15
suhfd suhft	f. friend	antoine1-15
udBid udBit	m. plant	antoine1-15
Apad Apat	f. adversity	antoine1-15
vipad vipat	f. danger	antoine1-15
sampad sampat	f. wealth	antoine1-15
parizad parizat	f. assembly	antoine1-15
Sarad Sarat	f. autumn	antoine1-15
kzuD kzut	f. hunger	antoine1-15
samiD samit	f. fuel	antoine1-15
prAvfz prAvfw	f. rainy season	antoine1-15
diS dik	f. direction	antoine1-15
asfj asfk	n. blood	antoine1-15
candramas candramAH	m. moon	antoine1-15
veDas veDAH	m. creator	antoine1-15
payas payaH	m. n. water,milk	antoine1-15
uras uraH	m. n. breast	antoine1-15
cetas cetaH	m. n. mind	antoine1-15
manas manaH	m. n. mind	antoine1-15
yaSas yaSaH	m. n. fame	antoine1-15
vayas vayaH	m. n. age	antoine1-15
viS viw	m. Vaishya (third caste)	antoine1-16
kakuB kakup	f. direction	antoine1-16
dvAr dvAH	f. door	antoine1-16
tejas tejaH	m. n. glare,energy	antoine1-16
Siras SiraH	m. n. head	antoine1-16
tapas tapaH	m. n. penance	antoine1-16
sadas sadaH	m. n. residence	antoine1-16
havis haviH	n. oblation	antoine1-16
jyotis jyotiH	n. light	antoine1-16
priya	mfn. dear	antoine1-16
gir gIH	f. voice	antoine1-16
pur pUH	f. town	antoine1-16
Dur DUH	f. yoke	antoine1-16
dviz dviw	m. enemy	antoine1-16
Ayus AyuH	n. life	antoine1-16
Danus DanuH	n. bow	antoine1-16
cakzus cakzuH	n. eye	antoine1-16
maDulih maDuliw	m. bee	antoine1-16
upAnah upAnat	f. shoe	antoine1-16
vid vidyate	A4. to happen, to be	antoine1-16
sumanas sumanAH	m. learned man	antoine1-16
uzas uzAH	f. dawn	antoine1-16
tamas tamaH	m. n. darkness	antoine1-16
sTita	mfn. standing	antoine1-16
nirguRa	mfn. worthless,without quality	antoine1-16
sattvam	n. being, vigour	antoine1-16
dayA	f compassion	antoine1-16
sam-hf saMharati-saMharate	U1. to withdraw	antoine1-16
kAmaduh kAmaDuk	f. wish-yielding cow	antoine1-16
Ayuzmat	mfn. long-lived	antoine1-17
balavat	mfn. strong	antoine1-17
Bagavat BagavAn	m. God	antoine1-17
matimat	mfn. prudent	antoine1-17
DImat	mfn. talented	antoine1-17
SrImat	mfn. rich	antoine1-17
jYAnavat	mfn. learned	antoine1-17
Danavat	mfn. wealthy	antoine1-17
himavat himavAn	m. Himalaya	antoine1-17
hanumat hanumAn	m. Hanuman	antoine1-17
vinodaH	m. diversion, pastime	antoine1-17
kAlaH	m. time	antoine1-17
vyasanam	n. dissipation, need	antoine1-17
mUrKaH	m. fool	antoine1-17
nidrA	f. sleep	antoine1-17
kalahaH	m. quarrel	antoine1-17
smi smayate	A1. to smile	antoine1-17
pari-BU pariBavati	P1. to overcome	antoine1-17
pari-vft parivartate	A1. to turn	antoine1-17
pari-hf pariharati	P1. to avoid	antoine1-17
pari-has parihasati	P1. to laugh at	antoine1-17
paruza	mfn. hard, rough	antoine1-17
Akula	mfn. disturbed, afflicted	antoine1-17
dIrGa	mfn. long	antoine1-17
snA snAti	P2. to bathe	antoine1-18
Sru SfRoti	P5. to hear	antoine1-18
ci cinoti	P5. to collect	antoine1-18
Ap Apnoti	P5. to obtain	antoine1-18
dIp dIpyate	A4. to shine	antoine1-18
stu stOti	P4. to praise	antoine1-18
yAc yAcate	A1. to beg	antoine1-18
jalp jalpati	P1. to prattle	antoine1-18
mA mimAti	P3. to measure	antoine1-18
rud roditi	P2. to cry	antoine1-18
ram ramate	A1. to sport	antoine1-18
kzaR kzaRoti	P8. to hurt	antoine1-18
tan tanoti	P8. to spread	antoine1-18
han hanti	P2. to kill	antoine1-18
svap svapiti	P2. to sleep	antoine1-18
ruD roDati	P1. to obstruct	antoine1-18
kzuB kzuByati	P4. to be agitated	antoine1-18
hA jahAti	P3. to abandon	antoine1-18
Bid Binnati	P7. to break	antoine1-18
tF tarati	P1. to cross	antoine1-18
