# lines beginning with '#' are comments for Anki
kfz karzati,kfzati	P1. to draw,pull. P6 to plough	antoine1-02 antoine1-05
krIq krIqati	P1. to play	antoine1-02 antoine1-14
Kan Kanati-Kanate	U1. to dig	antoine1-02
KAd KAdati	P1. to eat	antoine1-02
car carati	P1. to move	antoine1-02
cal calati	P1. to move	antoine1-02
ji jayati	P1. to conquer	antoine1-02
jIv jIvati	P1. to live,survive	antoine1-02
tyaj tyajati	P1. to abandon,leave	antoine1-02
dah dahati	P1. to burn	antoine1-02
dru dravati	P1. to run,melt	antoine1-02
DAv DAvati-DAvate	U1. to run,wash	antoine1-02
nam namati	P1. to salute,bow	antoine1-02
nI nayati-nayate	U1. to lead	antoine1-02
pac pacati-pacate	U1. to cook	antoine1-02
pat patati	P1. to fall	antoine1-02
buD boDati-boDate	U1. to know	antoine1-02
BU Bavati	P1. to be,become	antoine1-02
Bram Bramati	P1. to walk,roam	antoine1-02
yaj yajati-yajate	U1. to sacrifice	antoine1-02
rakz rakzati	P1. to protect	antoine1-02
ruh rohati	P1. to grow	antoine1-02
vad vadati	P1. to speak,talk	antoine1-02
vap vapati-vapate	U1. to sow	antoine1-02
vas vasati	P1. to dwell	antoine1-02
vah vahati-vahate	U1. to carry,flow	antoine1-02
vraj vrajati	P1. to go	antoine1-02
SaMs SaMsati	P1. to praise	antoine1-02
sf sarati	P1. to go	antoine1-02
smf smarati	P1. to remember	antoine1-02
aSvaH	m. horse	antoine1-03
AcAraH	m. conduct	antoine1-03
kapotaH	m. pigeon	antoine1-03
karaH	m. hand	antoine1-03
kAkaH	m. crow	antoine1-03
grAmaH	m. village	antoine1-03
janaH	m. person	antoine1-03
dAsaH	m. servant	antoine1-03
deSaH	m. country	antoine1-03
naraH	m. man	antoine1-03
nfpaH	m. king	antoine1-03
parvataH	m. mountain	antoine1-03
bAlaH	m. boy	antoine1-03
meGaH	m. cloud	antoine1-03
vfkzaH	m. tree	antoine1-03
annam	n. food	antoine1-03
inDanam	n. fuel	antoine1-03
kanakam	n. gold	antoine1-03
kamalam	n. lotus	antoine1-03
jalam	n. water	antoine1-03
tfRam	n. grass	antoine1-03
duHKam	n. misery	antoine1-03
patram	n. leaf	antoine1-03
pAtram	n. vessel	antoine1-03
Palam	n. fruit	antoine1-03
SarIram	n. body	antoine1-03
SAstram	n. sacred precept	antoine1-03
SIlam	n. character	antoine1-03
suKam	n. happiness	antoine1-03
sTAnam	n. place	antoine1-03
aBitaH	ind. near,in front of (+Accusative)	antoine1-03
paritaH	ind. around (+Accusative)	antoine1-03
sarvataH	ind. on all sides of (+Accusative)	antoine1-03
uBayataH	ind. on both sides of (+Accusative)	antoine1-03
Dik	ind. fie on (+Accusative)	antoine1-03
samayA	ind. near (+Accusative)	antoine1-03
nikazA	ind. near (+Accusative)	antoine1-03
vinA	ind. without (+Accusative, Instrumental, Ablative)	antoine1-03 antoine1-05 antoine1-06
antareRa	ind. without (+Accusative)	antoine1-03
ati	ind. above (+Accusative)	antoine1-03
anu	ind. after, according to, along (+Accusative)	antoine1-03
aBi	ind. near (+Accusative)	antoine1-03
prati	ind. to,towards (+Accusative)	antoine1-03
antarA	ind. between (+Accusative)	antoine1-03
upa	ind. near,below (+Accusative)	antoine1-03
as asyati	P4. throw	antoine1-04
tuz tuzyati	P4. be pleased	antoine1-04
naS naSyati	P4. perish,be destroyed	antoine1-04
nft nftyati	P4. dance	antoine1-04
puz puzyati	P1. nourish	antoine1-04
muh muhyati	P4. faint	antoine1-04
BraMS BraSyati	P4. fall	antoine1-04
daMS daSati	P1. bite	antoine1-04
nind nindati	P1. blame	antoine1-04
div dIvyati	P4. play	antoine1-04
Sam SAmyati	P4. cease, be quiet	antoine1-04
kzam kzAmyati	P4. forgive,bear	antoine1-04
Sram SrAmyati	P4. be weary,be tired	antoine1-04
mad mAdyati	P4. rejoice, be glad	antoine1-04
vyaD viDyati	P4. pierce	antoine1-04
Bram BrAmyati	P4. roam,err	antoine1-04
DmA Damati	P1. blow	antoine1-04
hf harati-harate	U1. take away	antoine1-04
gam gacCati	P1. go	antoine1-04
yam yacCati	P1. restrain	antoine1-04
dA yacCati	P1. give	antoine1-04
guh gUhati-gUhate	U1. hide	antoine1-04
sad sIdati	P1. sit	antoine1-04
GrA jiGrati	P1. smell	antoine1-04
pA pibati	P1. drink	antoine1-04
sTA tizWati	P1. stand	antoine1-04
dfS paSyati	P1. see	antoine1-04
kUpaH	m. well	antoine1-04
gajaH	m. elephant	antoine1-04
candraH	m. moon	antoine1-04
prAsAdaH	m. palace	antoine1-04
hradaH	m. lake	antoine1-04
kusumam	n. flower	antoine1-04
jIvanam	n. life	antoine1-04 antoine1-20
Danam	n. wealth	antoine1-04
vanam	n. forest	antoine1-04
SIrzam	n. head	antoine1-04
na	ind. not	antoine1-04
ca	ind. and	antoine1-04
#kfz kfzati	P6. to plough	antoine1-05
kzip kzipati	P6. to throw	antoine1-05
tud tudati	P6. to strike	antoine1-05
diS diSati	P6. to show	antoine1-05
liK liKati	P6. to write	antoine1-05
viS viSati	P6. to enter	antoine1-05
sfj sfjati	P6. to create	antoine1-05
spfS spfSati	P6. to touch	antoine1-05
kft kfntati	P6. to cut	antoine1-05
muc muYcati	P6. to release	antoine1-05
lup lumpati	P6. to break	antoine1-05
lip limpati	P6. to anoint	antoine1-05
vid vindati	P6. to find	antoine1-05
sic siYcati	P6. to sprinkle	antoine1-05
iz icCati	P6. to wish	antoine1-05
pracC pfcCati	P6. to ask	antoine1-05
has hasati	P6. to laugh	antoine1-05
hve hvayati	P6. to call	antoine1-05
anilaH	m. wind	antoine1-05
BAraH	m. burden	antoine1-05
vIraH	m. hero	antoine1-05
SfgAlaH	m. jackal	antoine1-05
haMsaH	m. swan	antoine1-05
gfham	n. house	antoine1-05
tIram	n. bank	antoine1-05
BUzaRam	n. ornament	antoine1-05
ratnam	n. jewel	antoine1-05
saha	with (+Instrumental)	antoine1-05
#vinA	without (+Instrumental)	antoine1-05
alam	enough (+Instrumental)	antoine1-05 antoine1-14
kftam	enough (+Instrumental)	antoine1-05
namaH	m. salutation to (+Dative)	antoine1-05
svasti	hail to (+Dative)	antoine1-05 antoine1-10
agniH	fire	antoine1-06
atiTiH	guest	antoine1-06
ariH	enemy	antoine1-06
kaviH	poet	antoine1-06
giriH	mountain	antoine1-06
muniH	sage	antoine1-06
raviH	sun	antoine1-06
rASiH	heap	antoine1-06
udaDiH	ocean	antoine1-06
kaliH	quarrel	antoine1-06
induH	moon	antoine1-06
izuH	arrow	antoine1-06
guruH	teacher	antoine1-06
taruH	tree	antoine1-06
paraSuH	axe	antoine1-06
