ISvaraH	God	antoine1-07a
putraH	son	antoine1-07a
guRaH	virtue	antoine1-07a
lokaH	world	antoine1-07a
vinayaH	modesty	antoine1-07a
janakaH	father	antoine1-07a
AkASaH	sky	antoine1-07a
AgamaH	arrival	antoine1-07a
prasAdaH	favor	antoine1-07a
Arogyam	health	antoine1-07a
kAvyam	poem	antoine1-07a
dEvam	fate	antoine1-07a
balam	strength	antoine1-07a
mAMsam	meat	antoine1-07a
mitram	friend	antoine1-07a
vacanam	saying	antoine1-07a
sOndaryam	beauty	antoine1-07a
halam	plough	antoine1-07a
aliH	bee	antoine1-07a
kapiH	monkey	antoine1-07a
nfpatiH	king	antoine1-07a
fziH	seer	antoine1-07a
DvaniH	sound	antoine1-07a
niDiH	treasure	antoine1-07a
pARiH	hand	antoine1-07a
viDiH	fate	antoine1-07a
raSmiH	ray	antoine1-07a
vAyuH	wind	antoine1-07a
mftyuH	death	antoine1-07a
praBuH	lord,master	antoine1-07a
SatruH	enemy	antoine1-07a
hetuH	cause	antoine1-07a
sADuH	honest man	antoine1-07a
raGuH	Raghu	antoine1-07a
ni-kzip nikzipati	to put down	antoine1-07a
nir-vah nirvahati	to carry out	antoine1-07a
pari-pat paripatati	to fly round	antoine1-07a
prati-gam pratigacCati	to return	antoine1-07a
vi-as vyasyati	to scatter	antoine1-07a
sam-kzip saMkzipati	to shorten	antoine1-07a
atra	here	antoine1-07a
tatra	there	antoine1-07a
eva	just,only	antoine1-07a
adya	today	antoine1-07a
aDunA	now	antoine1-07a
iva	like	antoine1-07a
evam	thus	antoine1-07a
api	even	antoine1-07a
na kadApi	never	antoine1-07a
sadA	always	antoine1-07a
